Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
SALT_1,0.061,0.066,0.070,0.074,0.079,0.087,0.094,0.104,0.114,0.125,0.144,0.153,0.163,0.173,0.186,0.199,0.213,0.228,0.243,0.260,0.277,0.296,0.316,0.337,0.360,0.380,0.401,0.422,0.444,0.466,0.488,0.526
SANX,0.015,0.016,0.017,0.018,0.019,0.021,0.023,0.025,0.028,0.030,0.035,0.037,0.039,0.042,0.045,0.048,0.052,0.055,0.059,0.063,0.067,0.072,0.077,0.082,0.087,0.092,0.097,0.102,0.108,0.113,0.118,0.128
SBAR,0.119,0.127,0.135,0.144,0.153,0.170,0.182,0.202,0.222,0.243,0.279,0.297,0.316,0.336,0.361,0.386,0.413,0.442,0.473,0.505,0.539,0.576,0.614,0.656,0.699,0.739,0.780,0.821,0.863,0.905,0.949,1.022
SEAB1,0.181,0.194,0.206,0.219,0.233,0.258,0.277,0.307,0.338,0.370,0.425,0.453,0.482,0.512,0.549,0.588,0.629,0.673,0.719,0.768,0.821,0.876,0.935,0.998,1.065,1.125,1.187,1.249,1.313,1.378,1.445,1.555
SELL_1,0.098,0.105,0.112,0.119,0.127,0.140,0.150,0.167,0.184,0.201,0.231,0.245,0.261,0.278,0.298,0.319,0.341,0.365,0.390,0.417,0.445,0.475,0.507,0.541,0.578,0.610,0.644,0.678,0.712,0.747,0.784,0.844
SFEG_P,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.010,0.010,0.011,0.012,0.013,0.013,0.014,0.015,0.015,0.016,0.017
SFIL_P,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.008
SHEC_3,0.019,0.021,0.022,0.023,0.025,0.027,0.029,0.033,0.036,0.039,0.045,0.048,0.051,0.054,0.058,0.062,0.067,0.071,0.076,0.081,0.087,0.093,0.099,0.106,0.113,0.119,0.126,0.132,0.139,0.146,0.153,0.165
SHIN_P,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005
SHRU,0.025,0.026,0.027,0.029,0.031,0.034,0.037,0.041,0.045,0.049,0.056,0.060,0.064,0.068,0.072,0.078,0.083,0.089,0.095,0.101,0.108,0.116,0.123,0.132,0.141,0.149,0.157,0.165,0.173,0.182,0.191,0.205
SHRW_1,0.067,0.071,0.076,0.081,0.086,0.095,0.102,0.113,0.125,0.136,0.157,0.167,0.177,0.188,0.202,0.216,0.232,0.248,0.265,0.283,0.302,0.323,0.344,0.367,0.392,0.414,0.437,0.460,0.483,0.507,0.532,0.573
SIGH,0.043,0.046,0.048,0.052,0.055,0.061,0.065,0.072,0.080,0.087,0.100,0.106,0.113,0.120,0.129,0.138,0.148,0.158,0.169,0.181,0.193,0.206,0.220,0.235,0.251,0.265,0.279,0.294,0.309,0.324,0.340,0.366
SJOW_1,0.161,0.172,0.182,0.194,0.207,0.229,0.246,0.273,0.300,0.328,0.377,0.401,0.427,0.454,0.487,0.521,0.558,0.597,0.638,0.681,0.728,0.777,0.829,0.885,0.944,0.998,1.052,1.108,1.164,1.222,1.281,1.379
SKLGB1,0.361,0.387,0.411,0.437,0.466,0.515,0.553,0.614,0.676,0.739,0.849,0.903,0.961,1.022,1.096,1.174,1.256,1.343,1.436,1.534,1.638,1.749,1.867,1.992,2.125,2.246,2.369,2.494,2.621,2.751,2.884,3.105
SLOY_P,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.008,0.008,0.008,0.009,0.009,0.010
SMAN_1,0.178,0.191,0.202,0.215,0.230,0.254,0.272,0.302,0.333,0.364,0.418,0.445,0.474,0.503,0.540,0.578,0.619,0.662,0.707,0.756,0.807,0.862,0.920,0.981,1.047,1.107,1.167,1.229,1.291,1.355,1.421,1.530
SPAV,0.012,0.013,0.014,0.014,0.015,0.017,0.018,0.020,0.022,0.024,0.028,0.030,0.032,0.034,0.036,0.039,0.041,0.044,0.047,0.051,0.054,0.058,0.062,0.066,0.070,0.074,0.078,0.082,0.087,0.091,0.095,0.103
SPEN_1,0.152,0.162,0.172,0.183,0.195,0.216,0.232,0.257,0.283,0.310,0.356,0.379,0.403,0.429,0.460,0.492,0.527,0.564,0.602,0.643,0.687,0.734,0.783,0.836,0.892,0.942,0.994,1.046,1.100,1.154,1.210,1.302
